t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision

--- Experiment Summary ---
Scenario,Mux_Spielberg_WS0.8841_WT1.3866_WC0.8504_WCL1.3767_WD1.0629_DM0.2115_Opp_bumper_slow_1.csv
Mode,MUX_RACING
Finish Reason,MANUAL_ABORT
Duration (s),0.00
Total Dist (m),0.00
Collision,NO
FRENET Usage (%),0.00
FGM Usage (%),0.00
Max Speed (m/s),0.00
Max Lat Acc (m/s^2),0.00
Global Min Dist (m),1000000000.00
Global Unsafe Ratio,0.00
Global Track RMS (m),0.00
Global Lat Acc RMS,0.00
FGM Min Dist (m),1000000000.00
FGM Unsafe Ratio,0.00
FGM Track RMS (m),0.00
